Load previous model.sav? [0/1]
0
..........AI : 10.943 s, Game : 21.697 s
Episode 040 avg. reward = -0.800, Long-term avg. reward = -0.447
..........AI : 15.014 s, Game : 28.150 s
Episode 041 avg. reward = -0.400, Long-term avg. reward = -0.446
..........AI : 15.128 s, Game : 29.083 s
Episode 042 avg. reward = -0.500, Long-term avg. reward = -0.447
..........AI : 17.142 s, Game : 34.165 s
Episode 043 avg. reward = -0.100, Long-term avg. reward = -0.444
..........AI : 9.611 s, Game : 18.864 s
Episode 044 avg. reward = -0.800, Long-term avg. reward = -0.447
..........AI : 16.362 s, Game : 28.985 s
Episode 045 avg. reward = -0.400, Long-term avg. reward = -0.447
..........AI : 21.165 s, Game : 36.670 s
Episode 046 avg. reward = 0.100, Long-term avg. reward = -0.441
..........AI : 10.902 s, Game : 19.113 s
Episode 047 avg. reward = -0.800, Long-term avg. reward = -0.445
..........AI : 14.604 s, Game : 27.610 s
Episode 048 avg. reward = -0.200, Long-term avg. reward = -0.442
..........AI : 16.879 s, Game : 29.693 s
Episode 049 avg. reward = -0.300, Long-term avg. reward = -0.441
..........AI : 14.119 s, Game : 23.475 s
Episode 050 avg. reward = -0.600, Long-term avg. reward = -0.442
..........AI : 13.122 s, Game : 21.575 s
Episode 051 avg. reward = -0.500, Long-term avg. reward = -0.443
..........AI : 15.272 s, Game : 30.137 s
Episode 052 avg. reward = -0.400, Long-term avg. reward = -0.443
..........AI : 10.847 s, Game : 19.830 s
Episode 053 avg. reward = -0.800, Long-term avg. reward = -0.446
..........AI : 12.015 s, Game : 21.921 s
Episode 054 avg. reward = -0.600, Long-term avg. reward = -0.448
..........AI : 15.885 s, Game : 29.620 s
Episode 055 avg. reward = -0.400, Long-term avg. reward = -0.447
..........AI : 13.155 s, Game : 24.828 s
Episode 056 avg. reward = -0.400, Long-term avg. reward = -0.447
..........AI : 15.031 s, Game : 26.437 s
Episode 057 avg. reward = -0.400, Long-term avg. reward = -0.446
..........AI : 11.861 s, Game : 20.155 s
Episode 058 avg. reward = -0.600, Long-term avg. reward = -0.448
..........AI : 14.700 s, Game : 29.027 s
Episode 059 avg. reward = -0.300, Long-term avg. reward = -0.446
..........AI : 12.213 s, Game : 22.402 s
Episode 060 avg. reward = -0.700, Long-term avg. reward = -0.449
..........AI : 9.970 s, Game : 19.852 s
Episode 061 avg. reward = -0.900, Long-term avg. reward = -0.453
..........AI : 10.129 s, Game : 20.565 s
Episode 062 avg. reward = -0.800, Long-term avg. reward = -0.457
..........AI : 14.533 s, Game : 26.238 s
Episode 063 avg. reward = -0.500, Long-term avg. reward = -0.457
..........AI : 14.022 s, Game : 26.949 s
Episode 064 avg. reward = -0.500, Long-term avg. reward = -0.458
..........AI : 19.233 s, Game : 34.063 s
Episode 065 avg. reward = -0.100, Long-term avg. reward = -0.454
..........AI : 13.451 s, Game : 23.669 s
Episode 066 avg. reward = -0.500, Long-term avg. reward = -0.455
..........AI : 17.086 s, Game : 31.372 s
Episode 067 avg. reward = -0.200, Long-term avg. reward = -0.452
..........AI : 15.236 s, Game : 30.972 s
Episode 068 avg. reward = -0.400, Long-term avg. reward = -0.452
..........AI : 13.761 s, Game : 27.921 s
Episode 069 avg. reward = -0.400, Long-term avg. reward = -0.451
..........AI : 12.636 s, Game : 25.695 s
Episode 070 avg. reward = -0.700, Long-term avg. reward = -0.454
..........AI : 14.479 s, Game : 29.971 s
Episode 071 avg. reward = -0.400, Long-term avg. reward = -0.453
..........AI : 16.594 s, Game : 30.955 s
Episode 072 avg. reward = -0.300, Long-term avg. reward = -0.451
..........AI : 13.004 s, Game : 22.282 s
Episode 073 avg. reward = -0.700, Long-term avg. reward = -0.454
..........AI : 15.790 s, Game : 31.603 s
Episode 074 avg. reward = -0.300, Long-term avg. reward = -0.452
..........AI : 15.447 s, Game : 29.321 s
Episode 075 avg. reward = -0.300, Long-term avg. reward = -0.451
