Episode 027 avg. reward = -1.000, Long-term avg. reward = -0.769
..........AI : 10.750 s, Game : 11.708 s
Episode 028 avg. reward = -1.000, Long-term avg. reward = -0.771
..........AI : 11.119 s, Game : 13.682 s
Episode 029 avg. reward = -1.000, Long-term avg. reward = -0.774
..........AI : 9.817 s, Game : 12.084 s
Episode 030 avg. reward = -1.000, Long-term avg. reward = -0.776
..........AI : 11.999 s, Game : 13.315 s
Episode 031 avg. reward = -1.000, Long-term avg. reward = -0.778
..........AI : 9.504 s, Game : 11.621 s
Episode 032 avg. reward = -1.000, Long-term avg. reward = -0.780
..........AI : 10.228 s, Game : 10.599 s
Episode 033 avg. reward = -1.000, Long-term avg. reward = -0.783
..........AI : 8.819 s, Game : 10.346 s
Episode 034 avg. reward = -1.000, Long-term avg. reward = -0.785
..........AI : 9.094 s, Game : 10.947 s
Episode 035 avg. reward = -1.000, Long-term avg. reward = -0.787
..........AI : 9.728 s, Game : 10.604 s
Episode 036 avg. reward = -1.000, Long-term avg. reward = -0.789
..........AI : 10.583 s, Game : 12.716 s
Episode 037 avg. reward = -1.000, Long-term avg. reward = -0.791
..........AI : 10.210 s, Game : 12.140 s
Episode 038 avg. reward = -1.000, Long-term avg. reward = -0.793
..........AI : 11.071 s, Game : 11.198 s
Episode 039 avg. reward = -1.000, Long-term avg. reward = -0.795
..........AI : 9.153 s, Game : 11.339 s
Episode 040 avg. reward = -1.000, Long-term avg. reward = -0.797
..........AI : 10.450 s, Game : 12.694 s
Episode 041 avg. reward = -1.000, Long-term avg. reward = -0.799
..........AI : 9.475 s, Game : 11.698 s
Episode 042 avg. reward = -1.000, Long-term avg. reward = -0.801
..........AI : 17.933 s, Game : 18.611 s
Episode 001 avg. reward = -0.800, Long-term avg. reward = -0.800
..........AI : 12.805 s, Game : 14.492 s
Episode 002 avg. reward = -1.000, Long-term avg. reward = -0.802
..........AI : 19.083 s, Game : 20.174 s
Episode 003 avg. reward = -0.700, Long-term avg. reward = -0.801
..........AI : 21.900 s, Game : 24.673 s
Episode 004 avg. reward = -0.600, Long-term avg. reward = -0.799
..........AI : 14.905 s, Game : 18.225 s
Episode 005 avg. reward = -0.700, Long-term avg. reward = -0.798
..........AI : 18.190 s, Game : 23.285 s
